Name,FINAL
HINDALCO,502.80
HDFCBANK,"1,519.00"
HCLTECH,"1,335.60"
COALINDIA,335.00
RELIANCE,"2,366.00"
TECHM,"1,219.95"
JSWSTEEL,766.85
NTPC,252.60
WIPRO,402.60
BHARTIARTL,967.00
TITAN,"3,365.00"
TATASTEEL,125.05
ASIANPAINT,"3,156.90"
LTIM,"5,585.00"
MARUTI,"10,619.00"
EICHERMOT,"3,865.00"
APOLLOHOSP,"5,500.00"
KOTAKBANK,"1,778.95"
ADANIENT,"2,160.00"
ONGC,193.00
TATAMOTORS,677.00
SBIN,566.00
HDFCLIFE,655.00
BRITANNIA,"4,730.00"
INFY,"1,442.00"
POWERGRID,210.00
ICICIBANK,924.40
SBILIFE,"1,389.00"
HEROMOTOCO,"3,354.95"
DIVISLAB,"3,681.90"
BAJFINANCE,"7,085.00"
ADANIPORTS,805.00
AXISBANK,989.95
DRREDDY,"5,610.00"
SUNPHARMA,"1,189.00"
ITC,437.15
M&M,"1,553.00"
INDUSINDBK,"1,505.50"
ULTRACEMCO,"8,664.80"
GRASIM,"1,972.65"
NESTLEIND,"24,305.00"
TCS,"3,519.60"
BPCL,392.00
BAJAJFINSV,"1,593.80"
LT,"3,088.50"
CIPLA,"1,246.95"
UPL,556.60
HINDUNILVR,"2,505.00"
BAJAJ-AUTO,"5,640.50"
TATACONSUM,906.00
